report,prefetch_depth,client_threads,query_qps,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,p999_latency_ns,recall_at_10,average_gpu_query_us,average_gpu_beam_selection_us,average_gpu_rdma_issue_us,average_gpu_rdma_wait_us,average_gpu_graph_validation_us,average_gpu_neighbor_decode_us,average_gpu_pq_score_us,average_gpu_visited_us,average_gpu_beam_merge_us,average_gpu_exact_us,average_gpu_other_us,graph_reads_per_query,graph_retry_reads_per_query,rdma_ops_per_query,rdma_bytes_per_query,average_parent_batch_size,average_graph_shard_batches_per_query,average_graph_rounds_per_query,dynamic_pq_reads_per_query,exact_reads_per_query
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_1/concurrency_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_102204.json,1,1,32.27006637342288,30987314,30937109,31915649,32791655,34406985,0.930799999999994,30915.201668474052,390.33844694035633,630.2402003614768,3987.430611412342,2938.0825868835527,221.61398502452877,542.9370999225407,117.7875579654015,21273.827444874776,177.5034317066873,547.8696909372579,134.15078750322746,0.0,262.1507875032275,131069.45520268526,1.0,134.15078750322746,134.15078750322746,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_1/concurrency_256/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_103325.json,1,256,7522.726712588337,34023511,34159356,35575688,36448504,38509338,0.930799999999994,33953.63144368474,405.5181410816091,780.5992053438141,5672.349953378118,3095.2702146883457,203.4023784192038,627.7846470396063,166.34357829007695,22158.86572368182,187.1258672939175,561.9843384441432,134.19533260685634,0.0,262.19533260685637,131106.51672890448,1.0,134.19533260685634,134.19533260685634,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_1/concurrency_64/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_102957.json,1,64,2014.6843046949234,31761126,31550115,33557945,34422336,35890456,0.930799999999994,31688.73415160964,411.39327297425825,694.8070995389228,3792.898176532616,3038.9991707887934,203.79920268789414,593.0219634363693,154.4481658389331,21977.31954563424,178.79860286984388,551.7978813687583,134.21133877804198,0.0,262.211338778042,131119.83386333092,1.0,134.21133877804198,134.21133877804198,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_1/concurrency_8/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_102616.json,1,8,257.9471645730458,31011076,30955810,31933674,32826369,34460102,0.930799999999994,30940.291680244205,402.07643588087086,638.1331780153756,3662.695528587118,2965.8858775114672,212.65833419471542,553.5085979714452,118.35254431810841,21575.825552199756,174.8536007171006,547.640348924349,134.13563537696234,0.0,262.13563537696234,131056.84863363266,1.0,134.13563537696234,134.13563537696234,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_16/concurrency_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_112013.json,16,1,229.6112456771827,4354203,4321593,4945300,5315052,5889890,0.9400999999999946,4283.074511214343,57.06135003992161,83.4298333454308,556.5690238803803,466.30927618494593,75.28639054220803,316.65786764172174,68.06057563330188,2253.059996153009,173.73166266240838,144.81150809319882,194.3260506641504,0.0,322.3260506641504,181135.27415257314,13.361264644599434,21.221347172824274,14.543986354068375,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_16/concurrency_256/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_113241.json,16,256,49509.00530691671,5169257,5131157,5880399,6333312,7011993,0.9400999999999946,5103.859819824714,59.63916533413628,112.9068328733729,803.2115482658872,556.40498130289,84.55753500397967,476.3440714813363,116.04949625571388,2370.223400231223,262.38140658051157,159.86000269243905,195.45487930309304,0.0,323.45487930309304,182074.4595801734,13.369880713273846,20.953418970073482,14.61904436507366,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_16/concurrency_64/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_112814.json,16,64,13682.47286469655,4676097,4640676,5331190,5754940,6388372,0.9400999999999946,4614.413413386651,59.01712463427943,95.72497451649366,595.2537839733393,519.8035180947937,82.52891977656026,388.9376840424029,98.44862230048894,2339.188777875763,187.83663811325948,151.7208158431001,195.23653989977856,0.0,323.23653989977856,181892.80119661576,13.35965871233394,20.98405446160817,14.613886784363116,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_16/concurrency_8/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_112445.json,16,8,1807.208552450523,4425359,4376523,5020144,5402654,5983335,0.9400999999999946,4355.155503294554,57.71142466789319,84.58134679282344,572.0364334795019,479.73527721293107,75.38257461279183,318.74505885472144,67.24156075675626,2288.26045741978,175.04260794566406,146.59300616028736,195.70217592784718,0.0,323.7021759278472,182280.21037196886,13.381828970571497,20.83779446957436,14.624471464866534,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_2/concurrency_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_103650.json,2,1,61.5005320246713,16259021,16135810,16987644,17475359,18189461,0.9316999999999941,16187.791920742446,222.93908210269612,338.53579650453867,1950.2610716705055,1566.567084405907,124.78738030077226,318.1930509416068,71.43495109063812,11025.526820891479,175.99917314727003,305.92997100663865,138.55886736214606,0.0,266.55886736214603,134736.9776453055,1.9886421971252566,80.62701530957865,69.67511177347242,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_2/concurrency_256/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_104812.json,2,256,13951.846017462072,18345739,18316808,19134746,19702349,20727674,0.9316999999999941,18278.033409049243,231.26084743849674,424.99444711840215,3236.8684816205387,1668.5187431366285,116.32387051098684,397.6731830881365,103.22619406929212,11496.655406632408,191.32863992523164,315.59015090608864,138.6373262546245,0.0,266.6373262546245,134802.2554438476,1.9887523036419013,80.42455053881595,69.71070555178993,0.0,128.0
