case,display_name,code,update_mode,access_mode,progression_mode,total_qps,query_qps,write_qps,durable_total_qps,durable_write_qps,query_p99_ms,write_p99_ms,recall_before,recall_after,client_drain_seconds,maintenance_drain_seconds,stage2_remaining,stage2_failures,total_speedup_vs_baseline,query_speedup_vs_baseline,write_speedup_vs_baseline,report
baseline,Baseline,000,coupled,fixed,coupled,2365.545115471042,1973.6073500001307,391.93776547091136,2365.543830802619,391.93755261930784,539.091148,6469.517434,0.9400999999999946,0.9392999999999946,2.570479888,6.6565e-05,0,0,1.0,1.0,1.0,/home/xjs/experiment/dvstor/motivation/ablation/results/ablation_20260823_161520/baseline/04_gpu_persistent_gpunetio_baseline/sift100m_04_gpu_persistent_gpunetio_baseline_20260823_161542.json
program1,+ 方案一,100,decoupled,fixed,coupled,4925.863396441143,2124.4883849611197,2801.3750114800227,4124.246026651912,2345.489273739442,509.974112,281.768798,0.9400999999999946,0.9356999999999943,0.17669845,23.358385581,5197,0,2.0823375399713204,1.0764493681891583,7.147499573342171,/home/xjs/experiment/dvstor/motivation/ablation/results/ablation_20260823_161520/program1/04_gpu_persistent_gpunetio_baseline/sift100m_04_gpu_persistent_gpunetio_baseline_20260823_162808.json
program2,+ 方案二,110,decoupled,adaptive,coupled,4960.978328948526,2163.1652804301657,2797.8130485183606,4151.074313709577,2341.0563623098133,501.189895,278.146525,0.9400999999999946,0.9354999999999943,0.159565407,23.443982723,4840,0,2.097181870048868,1.0960464250551267,7.138411490295663,/home/xjs/experiment/dvstor/motivation/ablation/results/ablation_20260823_161520/program2/04_gpu_persistent_gpunetio_baseline/sift100m_04_gpu_persistent_gpunetio_baseline_20260823_163224.json
full,+ 方案三（Full）,111,decoupled,adaptive,decoupled,71927.72245363651,69223.46894182378,2704.2535118127153,60798.95819936126,2285.8473842426615,4.989245,296.895022,0.9400999999999946,0.9353999999999943,0.126311598,21.98816299,12769,0,30.406404842257178,35.07459016192821,6.899701304781303,/home/xjs/experiment/dvstor/motivation/ablation/results/ablation_20260823_161520/full/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260823_163703.json
