case,query_qps,write_qps,p99_ms,recall_at_10,dynamic_share,dynamic_degree,dynamic_bytes_per_parent,dynamic_wqes_per_parent,fallback_ratio,write_attainment
fixed,50655.9,500.0,7.294986,0.9109999999999954,0.017334061865841594,36.509225060274645,834.2331637024355,1.0026840909885042,0.0,1.0
header,38827.0,500.0,9.472293,0.9109999999999954,0.01711435265981183,36.599810460287515,308.841526777101,2.002690193425055,0.0,1.0
live,53072.3,500.0,6.895886,0.9109999999999954,0.01731703814179885,36.77418891319055,341.42592951177346,1.0025712158964013,2.4010250776398137e-06,1.0
oracle,,,,,,36.77418891319055,310.1935113055244,1.0,,
