case,display_name,code,update_mode,access_mode,progression_mode,total_qps,query_qps,write_qps,durable_total_qps,durable_write_qps,query_p99_ms,write_p99_ms,recall_before,recall_after,client_drain_seconds,maintenance_drain_seconds,stage2_remaining,stage2_failures,total_speedup_vs_baseline,query_speedup_vs_baseline,write_speedup_vs_baseline,report
baseline,Baseline,000,coupled,fixed,manual,54923.2396563693,54572.08305516488,351.15660120441163,54923.17183661525,351.15616759280243,5.81249,6672.536858,0.9395999999999944,0.9392999999999946,3.976026225,0.000153087,0,0,1.0,1.0,1.0,/home/xjs/experiment/dvstor/experiment/sift100m/ablation/results/ablation_20260823_165201/baseline/04_gpu_persistent_gpunetio_baseline/sift100m_04_gpu_persistent_gpunetio_baseline_20260823_165225.json
program1,+ 方案一,100,decoupled,fixed,manual,59700.22142656492,56997.49890706275,2702.722519502178,50393.873395350805,2281.4095696125983,5.767096,294.5796,0.9394999999999946,0.9356999999999944,0.111849314,22.181320805,13101,0,1.0869756008582727,1.0444442600705952,7.696630250527163,/home/xjs/experiment/dvstor/experiment/sift100m/ablation/results/ablation_20260823_165201/program1/04_gpu_persistent_gpunetio_baseline/sift100m_04_gpu_persistent_gpunetio_baseline_20260823_171411.json
program3,+ 方案三,101,decoupled,fixed,decoupled,62799.636511556564,60054.233905090085,2745.4026064664804,52903.12248861281,2312.7581374412184,5.967532,286.861419,0.9400999999999946,0.9354999999999944,0.070185416,22.461363674,0,0,1.143407360972631,1.100457056850542,7.8181717132760244,/home/xjs/experiment/dvstor/experiment/sift100m/ablation/results/ablation_20260823_165201/program3/04_gpu_persistent_gpunetio_baseline/sift100m_04_gpu_persistent_gpunetio_baseline_20260823_171829.json
full,+ 方案二（Full）,111,decoupled,adaptive,decoupled,71991.12422652447,69252.2048578396,2738.919368684867,60625.173034389096,2306.499064124646,5.004941,288.217514,0.9400999999999946,0.9355999999999943,0.072538009,22.511088022,14456,0,1.3107588823409082,1.269004241378053,7.799709187555656,/home/xjs/experiment/dvstor/experiment/sift100m/ablation/results/ablation_20260823_165201/full/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260823_172313.json
