case,query_qps,write_qps,p99_ms,recall_at_10,dynamic_share,dynamic_degree,dynamic_bytes_per_parent,dynamic_wqes_per_parent,fallback_ratio,write_attainment
fixed,55612.0,500.0,6.562961,0.9109999999999954,0.017570315403655282,36.62207084010128,834.1900296605029,1.0026322471881044,0.0,1.0
header,44197.75,500.0,8.32648,0.9109999999999954,0.016977838973733624,36.62117113303111,309.01277811867726,2.0027130659017733,0.0,1.0
live,61519.1,500.0,5.956958,0.9109999999999954,0.017373861891351764,36.711123181457495,340.9954955151518,1.0026636932274255,2.7524596093755196e-06,1.0
oracle,,,,,,36.711123181457495,309.68898545165996,1.0,,
