commit_width,candidate_slots_per_round,merge_input_slots_per_round,graph_rounds_per_query,certificate_rounds_per_query,prefix_us_per_certificate,full_merge_pipeline_us_per_round,remaining_merge_us_per_round,prefix_compute_share,qps
1,42.28304170709413,170.28304170709413,134.2070231584485,134.2070231584485,5.369700529669505,18.741676804544287,13.371976274874783,0.2865112116524982,18219.69892133342
4,176.54606255108612,304.54606255108615,37.73880465444288,37.73880465444288,6.710658257536304,19.94889469658086,13.238236439044558,0.33639248487719353,46474.77861585864
8,339.986795050192,467.986795050192,22.113799044421945,22.113799044421945,7.720808565466785,20.927944731407862,13.20713616594108,0.3689234019181869,61891.317987565366
16,636.4565625463911,764.4565625463911,14.6141065926444,14.6141065926444,9.649302473287705,23.704226159721753,14.05492368643405,0.4070709757943421,68730.95735338515
