commit_width,candidate_slots_per_round,merge_input_slots_per_round,graph_rounds_per_query,certificate_rounds_per_query,prefix_us_per_certificate,full_merge_pipeline_us_per_round,remaining_merge_us_per_round,prefix_compute_share,qps
1,42.287977424397226,170.28797742439724,134.20621111868283,134.20621111868283,5.472418220952643,18.793864667223488,13.321446446270844,0.29118110180374684,18166.304355897497
4,176.52251590973114,304.52251590973117,37.73805832841462,37.73805832841462,6.806251447400391,20.012684633404582,13.20643318600419,0.3400968721627481,46219.06495943339
8,339.7449458804847,467.7449458804847,22.114311672959783,22.114311672959783,7.808496178339353,20.997974609830575,13.18947843149122,0.3718690170567054,61379.40483975082
16,637.0600448820371,765.0600448820371,14.614127492000984,14.614127492000984,9.71188445029099,23.747494250726582,14.035609800435592,0.4089645984436376,66999.60467669768
