commit_width,candidate_slots_per_round,merge_input_slots_per_round,graph_rounds_per_query,certificate_rounds_per_query,prefix_us_per_certificate,full_merge_pipeline_us_per_round,remaining_merge_us_per_round,prefix_compute_share,qps
1,50.24893408992871,178.2489340899287,139.62401190777805,139.62401190777805,5.734831908906611,18.756571755672866,13.021739846766257,0.30575053819054804,15760.050980598538
4,204.80846582252732,332.8084658225273,39.25311955403176,39.25311955403176,6.898437190001042,19.884001632139434,12.985564442138392,0.3469340486701016,38639.7617594781
8,389.5703795441903,517.5703795441902,23.209199955536242,23.20919793445638,7.864855225159648,20.950183427478038,13.085328202318392,0.3754074637286558,49443.72007592745
16,729.6114889943736,857.6114889943736,15.547122211072242,15.547101578399467,9.770648615995938,23.967953092787486,14.197304476791548,0.40765469534134535,53279.444013815926
