phase,depth,concurrency,repetition,summary_path,integrity_clean,traced_queries,primary_attempts,multi_shard_attempts,multi_shard_round_fraction,strict_wait_spread_p50_us,strict_wait_spread_p90_us,completion_spread_p50_us,completion_spread_p90_us,normalized_strict_wait_barrier_waste,ready_before_tail_parent_fraction,ready_tile_10us_round_fraction,overlap_upper_bound_over_rdma_wait_p50,overlap_upper_bound_over_gpu_time_p50,overflow_queries,failed_queries,invalid_events,incomplete_groups
trace,1,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_1/concurrency_256/repeat_1/rdma_trace.summary.json,True,50,6687,0,0.0,,,,,0.0,0.0,,0.0,0.0,0,0,0,0
trace,16,1,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_16/concurrency_1/repeat_1/rdma_trace.summary.json,True,136,1979,764,0.3860535624052552,2.048,5.12,2.048,5.12,0.00818274218722222,0.09480617237485886,0.003926701570680628,0.025393832974559615,0.00423544742569428,0,0,0,0
trace,16,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_16/concurrency_256/repeat_1/rdma_trace.summary.json,True,234,3408,1184,0.3474178403755869,15.36,69.632,15.36,69.632,0.07329279971078426,0.1582288178256397,0.33783783783783783,0.09508531754468968,0.020831976886345447,0,0,0,0
trace,32,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_32/concurrency_256/repeat_1/rdma_trace.summary.json,True,186,2088,770,0.36877394636015326,37.376,155.0336000000001,37.376,155.0336000000001,0.09128591008073561,0.14955640050697086,0.4935064935064935,0.1948573628605114,0.03591058292242405,0,0,0,0
trace,8,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_8/concurrency_256/repeat_1/rdma_trace.summary.json,True,212,4684,1427,0.3046541417591802,11.264,34.20160000000009,11.264,34.20160000000009,0.04952645242252752,0.1429438982070561,0.2613875262789068,0.0452494319508457,0.010184439608992535,0,0,0,0
