phase,depth,concurrency,repetition,report_path,qps,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,recall_at_k,average_gpu_query_us,average_gpu_rdma_wait_us,average_gpu_beam_merge_us,average_graph_rounds_per_query,average_graph_shard_batches_per_query,average_selected_batch
trace,1,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_1/concurrency_256/repeat_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260727_001846.json,12447.305375403772,20487.915,20487.736,21921.637,22563.389,24553.3,0.9093749999999999,20402.9898141873,5648.296046652659,7950.16334276671,134.1861584700907,134.1861584700907,1.0
trace,8,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_8/concurrency_256/repeat_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260727_001616.json,53060.12886990145,4814.337,4785.626,5333.692,5681.845,6625.381,0.9249999999999998,4741.614864047922,1195.9827147619255,1365.0033313240556,22.13846471963056,30.082697862688214,7.388745830908675
trace,16,1,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_16/concurrency_1/repeat_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260727_001039.json,322.9878590595261,3095.069,3074.73,3468.109,3694.598,4250.504,0.9281249999999998,3018.523870103093,492.2381608247423,1002.5256659793814,14.662886597938144,21.18659793814433,13.339590803627926
trace,16,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_16/concurrency_256/repeat_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260727_001255.json,58627.44260076859,4358.263,4328.832,5009.484,5391.408,6112.114,0.9281249999999998,4278.141966044865,1047.5971594160965,1080.3565397533218,14.629256447787952,20.765179108372763,13.390503385193878
trace,32,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_32/concurrency_256/repeat_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260727_001658.json,46515.1101601911,5492.545,5450.593,6433.872,6970.299,7929.476,0.9343749999999997,5416.164132835288,1264.5112861810123,1455.742576815842,11.162174721189592,16.598355733485846,23.627096803117784
