depth,concurrency,repetitions,queries,primary_rounds,completion_granularity,all_integrity_clean,all_support_prototype,multi_release_round_fraction,spread_p50_us,spread_p90_us,ready_tile_10us_round_fraction,zero_overhead_saved_over_gpu_p50,two_us_overhead_saved_over_gpu_p50
1,256,1,50,6687,shard_batch_owner_completion_boundary,True,False,0.0,,,0.0,0.0,0.0
8,256,1,212,4684,shard_batch_owner_completion_boundary,True,False,0.2959009393680615,12.288,34.816,0.0796327924850555,0.007128653191507454,0.003561409249786622
16,1,1,136,1979,shard_batch_owner_completion_boundary,True,False,0.3299646286003032,3.072,5.12,0.0015159171298635675,0.004086112685591961,0.0
16,256,1,234,3408,shard_batch_owner_completion_boundary,True,False,0.3389084507042254,16.384,70.656,0.11737089201877934,0.010835859774660544,0.0027024553286616043
32,256,1,186,2088,shard_batch_owner_completion_boundary,True,False,0.3654214559386973,37.888,157.9008000000003,0.18199233716475097,0.012139723688741545,0.0024950813005218285
