phase,depth,concurrency,repetition,report_path,qps,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,recall_at_k,average_gpu_query_us,average_gpu_rdma_wait_us,average_gpu_beam_merge_us,average_graph_rounds_per_query,average_graph_shard_batches_per_query,average_selected_batch
performance,16,1,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/performance/depth_16/concurrency_1/repeat_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260727_000856.json,325.01324685395065,3075.763,3058.554,3440.75,3687.357,4219.373,0.9281249999999998,3005.652455942623,490.1073924180328,1002.9068719262295,14.662909836065573,21.21516393442623,13.34092655998882
performance,16,256,1,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/performance/depth_16/concurrency_256/repeat_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260727_000949.json,58651.60162756046,4355.484,4325.726,5004.215,5394.222,6115.478,0.9281249999999998,4274.081254321001,1044.9457439551343,1080.3873682094495,14.629329507564588,20.765480753963754,13.390818779209512
