depth,concurrency,repetition,completion_granularity,queries,primary_rounds,multi_release_round_fraction,spread_p50_us,spread_p90_us,ready_tile_10us_round_fraction,zero_overhead_saved_over_gpu_p50,two_us_overhead_saved_over_gpu_p50,verdict,integrity_clean,summary_path
1,256,1,shard_batch_owner_completion_boundary,50,6687,0.0,,,0.0,0.0,0.0,negative at observed granularity; parent/tile result remains unmeasured,True,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_1/concurrency_256/repeat_1/rdma_trace.ordered_commit_oracle.summary.json
16,1,1,shard_batch_owner_completion_boundary,136,1979,0.3299646286003032,3.072,5.12,0.0015159171298635675,0.004086112685591961,0.0,negative at observed granularity; parent/tile result remains unmeasured,True,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_16/concurrency_1/repeat_1/rdma_trace.ordered_commit_oracle.summary.json
16,256,1,shard_batch_owner_completion_boundary,234,3408,0.3389084507042254,16.384,70.656,0.11737089201877934,0.010835859774660544,0.0027024553286616043,negative at observed granularity; parent/tile result remains unmeasured,True,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_16/concurrency_256/repeat_1/rdma_trace.ordered_commit_oracle.summary.json
32,256,1,shard_batch_owner_completion_boundary,186,2088,0.3654214559386973,37.888,157.9008000000003,0.18199233716475097,0.012139723688741545,0.0024950813005218285,negative at observed granularity; parent/tile result remains unmeasured,True,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_32/concurrency_256/repeat_1/rdma_trace.ordered_commit_oracle.summary.json
8,256,1,shard_batch_owner_completion_boundary,212,4684,0.2959009393680615,12.288,34.816,0.0796327924850555,0.007128653191507454,0.003561409249786622,negative at observed granularity; parent/tile result remains unmeasured,True,/home/xjs/experiment/dvstor/motivation/results/batch_barrier/trace/depth_8/concurrency_256/repeat_1/rdma_trace.ordered_commit_oracle.summary.json
