case,query_qps,write_qps,p99_ms,recall_at_10,dynamic_share,dynamic_degree,dynamic_bytes_per_parent,dynamic_wqes_per_parent,fallback_ratio,write_attainment
fixed,51417.8,500.0,7.486549,0.922899999999995,0.014708689338084759,36.83851406551373,833.7426033982302,1.0020944752382575,0.0,1.0
header,50226.15,500.0,6.94557,0.922899999999995,0.014713293093619234,36.85589921188338,310.8816350798239,2.002152586547303,0.0,1.0
live,65957.25,500.0,5.378282,0.922899999999995,0.014684912261884796,36.916327884122374,341.48404760609804,1.0021148056992562,1.0556967110032894e-06,1.0
oracle,,,,,,36.916327884122374,311.330623072979,1.0,,
