case,query_qps,write_qps,p99_ms,recall_at_10,dynamic_share,dynamic_degree,dynamic_bytes_per_parent,dynamic_wqes_per_parent,fallback_ratio,write_attainment
fixed,59141.95,500.0,6.283796,0.9400999999999946,0.015262823049964076,41.569956394343734,833.8949998018056,1.002277643992555,0.0,1.0
header,50672.15,500.0,6.978996,0.9400999999999946,0.015347775053486674,41.47651444172434,347.8489101123973,2.0022996611626587,0.0,1.0
live,66827.75,500.0,5.41345,0.9400999999999946,0.01536099763348572,41.49828319510122,377.2862431007946,1.002282629403899,2.7966132505061234e-06,1.0
oracle,,,,,,41.49828319510122,347.9862655608098,1.0,,
