commit_width,candidate_slots_per_round,merge_input_slots_per_round,graph_rounds_per_query,certificate_rounds_per_query,prefix_us_per_certificate,full_merge_pipeline_us_per_round,remaining_merge_us_per_round,prefix_compute_share,qps
1,46.431159717631765,174.43115971763177,134.82657778974774,134.82657778974774,5.44210914102814,18.927194099153482,13.485084958125343,0.28752857462752696,17793.238334298334
4,186.2427520184711,314.2427520184711,38.11970128038409,38.11970128038409,6.768552125603376,20.142346045384034,13.373793919780656,0.33603593694362666,45413.40058130322
8,354.61590859213493,482.61590859213493,22.45577508228798,22.45577508228798,7.770665857817863,21.14392935405617,13.373263496238303,0.3675128557089683,60266.655845554174
16,652.3188671306935,780.3188671306935,14.944279829993855,14.944276780009181,9.699609159070674,23.9104243198302,14.210815160759521,0.40566445117522515,65534.70745434356
