case,query_qps,write_qps,p99_ms,recall_at_10,dynamic_share,dynamic_degree,dynamic_bytes_per_parent,dynamic_wqes_per_parent,fallback_ratio,write_attainment
fixed,59967.25,500.0,6.047883,0.9400999999999946,0.015289530494301033,41.603711210189125,833.9090058267669,1.0022944781571717,0.0,1.0
header,51226.15,500.0,6.833556,0.9400999999999946,0.015292297817146916,41.57219097471119,348.6145598212946,2.0023145014753196,0.0,1.0
live,68872.05,500.0,5.21298,0.9400999999999946,0.015363582139204078,41.503816490605416,377.3284541084618,1.0022560122281687,2.713181449435794e-06,1.0
oracle,,,,,,41.503816490605416,348.03053192484333,1.0,,
